index,family_1,trohpic level in our work,,,kingdom,phylum,order,family,genus,species,name,,level,diet,diet1,sealifebase_level,Paraphyletic group 0,Paraphyletic group 1,Functional group 0,Functional group 1,Functional group 2,Functional group 3,size 0,size 1,feedingtype 0,feedingtype 1,feedingtype 2,feedingtype 3,feedingtype 4,feedingtype 5,feedingtype 6,feedingtype 7,feedingtype 8,size 2,size 3,size 4,size 5,size 6,size 7,size 8,size 9,size 10,size 11,size 12,size 13,size 14,size 15,size 16,size 17,size 18,size 19,size 20
1325,Coccodiscidae,2,1,0,Chromista,Myzozoa,Peridiniales,Peridiniaceae,Brigantedinium,,Brigantedinium,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,Nouriidae,2,2,0,Animalia,Annelida,Terebellida,Cirratulidae,Tharyx,,Tharyx,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,Sphaeramminidae,2,1,0,Chromista,Ochrophyta,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia minima,Rhizosolenia minima,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,Cyematidae,5,2,0,Chromista,Foraminifera,Rotaliida,Buliminidae,Bulimina,Bulimina marginata,Bulimina marginata,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,Aulacanthidae,2,2,0,Animalia,Bryozoa,Cheilostomatida,Eucrateidae,Eucratea,Eucratea loricata,Eucratea loricata,,2,suspension feeder (based on Cheilostomata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,Drilliidae,3,1,0,Chromista,Myzozoa,Gonyaulacales,Ceratiaceae,,,Ceratiaceae,,1,,,,Algae,,plankton > phytoplankton,plankton > microplankton,plankton > nanoplankton,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,Teredinidae,2,2,0,Animalia,Annelida,Spionida,Spionidae,Laonice,Laonice cirrata,Laonice cirrata,多毛纲蠕虫，它们以微生物为食,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,Schizymeniaceae,1,5,0,Animalia,Chordata,Scombriformes,Scombridae,Scomber,Scomber colias,Scomber colias,鲭形目，以鱼类、头足类等为食,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,Melanocetidae,3,#N/A,#N/A,Chromista,Ciliophora,Cyclotrichiida,Mesodiniidae,Mesodinium,,Mesodinium,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,Lepadidae,2,1,0,Chromista,Myzozoa,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium lachryma,Gyrodinium lachryma,,1,,,,Algae,,plankton > microplankton,plankton > zooplankton,,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,Porcellidiidae,2,4,0,Animalia,Chordata,Eupercaria incertae sedis,Sparidae,Pagellus,Pagellus acarne,Pagellus acarne,主要以底栖甲壳动物、软体动物、棘皮动物或海藻为食，偶尔捕食小鱼。,4,carnivore (based on Perciformes),,,Pisces,,,,,,36,25,: endoparasitic<\/small>,": endoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",: endoparasitic<\/small>,: ectoparasitic<\/small>,,,,,,,,,,,,,,,,,,,
1336,Rondeletiidae,3,3,0,Animalia,Arthropoda,Decapoda,Leucosiidae,Ebalia,Ebalia tuberosa,Ebalia tuberosa,十足目,3,carnivore (based on Decapoda),,,,,benthos,plankton > zooplankton,benthos > macrobenthos,,13,17,": parasitic,",,,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
1337,Lauratonematidae,2,2,0,Animalia,Mollusca,Mytilida,Mytilidae,Musculus,Musculus discors,Musculus discors,,2,suspension feeder (based on Musculus),,2,,,benthos,,,,1.3,2.0 - 200 mm,": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,,,,,,,,
1338,Borsoniidae,3,#N/A,#N/A,Plantae,,Chlorodendrales,Chlorodendraceae,Tetraselmis,,Tetraselmis,,1,photoautotroph,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,Karkinorhynchidae,2,1,0,Bacteria,Cyanobacteria,Chroococcales,Microcystaceae,Microcystis,,Microcystis,蓝菌门,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,Rhizoridae,2,2,0,Animalia,Annelida,Phyllodocida,Syllidae,Syllis,Syllis garciai,Syllis garciai,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,81,100,,,,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
1341,Cetomimidae,4,1,0,Chromista,Ochrophyta,Licmophorales,Licmophoraceae,Licmophora,Licmophora gracilis,Licmophora gracilis,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Tegastidae,2,2,0,Animalia,Annelida,Phyllodocida,Phyllodocidae,Mysta,Mysta picta,Mysta picta,,2,detritivore (based on Polychaeta),,,,,benthos,plankton > zooplankton,,,25,1.2,,,,,,,,,,30,60,51,80,,,,,,,,,,,,,,,
1343,Oedogoniaceae,1,2,0,Animalia,Annelida,Terebellida,Terebellidae,Phisidia,Phisidia aurea,Phisidia aurea,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,100,11,": ectoparasitic,",,,,,,,,,21,51,81,20,50,80,2.0 - 200 mm,,,,,,,,,,,,
1344,Discocyclinidae,2,2,0,Animalia,Annelida,,Paraonidae,Paradoneis,Paradoneis armata,Paradoneis armata,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,11,21,deposit feeder > subsurface,,,,,,,,,20,50,2.0 - 200 mm,,,,,,,,,,,,,,,,
1345,Chrysogorgiidae,3,4,0,Animalia,Mollusca,Myopsida,Loliginidae,Alloteuthis,Alloteuthis media,Alloteuthis media,,4,detritivore (based on Polychaeta),,,,,nekton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,Aegiridae,3,2,0,Chromista,Foraminifera,Rotaliida,Catapsydracidae,Globoquadrina,Globoquadrina dehiscens,Globoquadrina dehiscens,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,Centropomidae,4,#N/A,#N/A,Plantae,,Charales,Characeae,Chara,Chara aspera,Chara aspera,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,Cytherettidae,2,3,0,Animalia,Arthropoda,Decapoda,Leucosiidae,Ebalia,,Ebalia,十足目,3,carnivore (based on Decapoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Bolbocoleonaceae,1,3,0,Animalia,Echinodermata,Valvatida,Poraniidae,Porania,Porania (Porania) pulvillus,Porania (Porania) pulvillus,棘皮动物,3,carnivore (based on Asteroidea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,Marginellidae,3,2,0,Animalia,Bryozoa,Cheilostomatida,Calloporidae,Callopora,Callopora dumerilii,Callopora dumerilii,,2,suspension feeder (based on Cheilostomata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,Omosudidae,4,1,0,Chromista,Ochrophyta,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia mediterranea,Lauderia mediterranea,,1,photoautotroph,,,Algae,,plankton > phytoplankton,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,Runcinidae,2,2,0,Chromista,Foraminifera,Nodosariida,Nodosariidae,Dentalina,,Dentalina,,2,deposit feeder (based on Lagenina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,Ringiculidae,3,2,0,Animalia,Annelida,Sabellida,Sabellidae,Sabella,Sabella pavonina,Sabella pavonina,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,Victoriellidae,2,3,0,Animalia,Cnidaria,Pennatulacea,Virgulariidae,Virgularia,Virgularia mirabilis,Virgularia mirabilis,,3,microcarnivore (based on Anthozoa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,Phyllodicolidae,2,1,0,Chromista,Ochrophyta,Sphacelariales,Cladostephaceae,Cladostephus,Cladostephus spongiosus,Cladostephus spongiosus,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,Himantolophidae,3,2,0,Chromista,Foraminifera,Miliolida,Hauerinidae,Pyrgo,,Pyrgo,,2,deposit feeder (based on Miliolina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,Elopidae,4,2,0,Animalia,Annelida,Phyllodocida,Syllidae,Eurysyllis,Eurysyllis tuberculata,Eurysyllis tuberculata,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,2,5,,,,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
1358,Ephydridae,2,3,0,Animalia,Arthropoda,Decapoda,Majidae,Maja,Maja squinado,Maja squinado,十足目,3,carnivore (based on Decapoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,Remaneicidae,2,1,0,Chromista,Ochrophyta,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica,Fibrocapsa japonica,,1,,,,Algae,,mixoplankton > Constitutive Mixoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,Charoniidae,3,2,0,Fungi,,Verrucariales,Verrucariaceae,Verrucaria,Verrucaria maura,Verrucaria maura,真菌,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,Desmopteridae,3,#N/A,#N/A,Animalia,Arthropoda,Tanaidacea,,,,Tanaidacea,,2,omnivore (based on Malacostraca),,,,,benthos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,Paravalvulinidae,2,2,1,Chromista,Myzozoa,Torodiniales,Kapelodiniaceae,Kapelodinium,Kapelodinium vestifici,Kapelodinium vestifici,,1,,,,Algae,,plankton > zooplankton,,,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,Asterocheridae,2,2,0,Animalia,Arthropoda,Anomopoda,Daphniidae,Daphnia,Daphnia cristata,Daphnia cristata,,2,suspension feeder, detritivore (based on Branchiopoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,Lampridae,5,1,0,Chromista,Ochrophyta,Chromulinales,Dinobryaceae,Chrysococcus,,Chrysococcus,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,Recurvirostridae,5,2,0,Chromista,Foraminifera,Rotaliida,Globorotaliidae,Neogloboquadrina,Neogloboquadrina atlantica,Neogloboquadrina atlantica,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,Schackoinidae,2,1,0,Chromista,Ochrophyta,Rhaponeidales,Rhaphoneidaceae,Rhaphoneis,,Rhaphoneis,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,Harpacticoida incertae sedis,2,2,0,Animalia,Mollusca,Galeommatida,Lasaeidae,Tellimya,Tellimya tenella,Tellimya tenella,,2,suspension feeder (based on Montacutidae),,,,,benthos,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,Onchidiidae,2,2,0,Animalia,Arthropoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,Clausocalanus furcatus,水蚤,2,,,,,,plankton > zooplankton,plankton > mesoplankton,,,0.7,0.92,,,,,,,,,,0.94,1.31,0.2 - 2.0 mm,0.8,0.83,1.1,1.14,1.2,1.75,,,,,,,,,,
1369,Characiaceae,1,2,0,Chromista,Foraminifera,Rotaliida,Catapsydracidae,Globoquadrina,Globoquadrina conglomerata,Globoquadrina conglomerata,,2,omnivore (based on Foraminifera),,,,,mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton,,,,0.2 - 2.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,Linophrynidae,3,2,0,Animalia,Annelida,Terebellida,Terebellidae,Amaeana,Amaeana trilobata,Amaeana trilobata,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,100,11,": ectoparasitic,",,,,,,,,,21,51,81,20,50,80,2.0 - 200 mm,,,,,,,,,,,,
1371,Eratoidae,3,2,0,Chromista,Foraminifera,Rotaliida,Globorotaliidae,Globorotalia,Globorotalia plesiotumida,Globorotalia plesiotumida,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,Conorboididae,2,2,0,Animalia,Annelida,,Chaetopteridae,Chaetopterus,Chaetopterus variopedatus,Chaetopterus variopedatus,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,Cratenemertidae,2,2,0,Animalia,Mollusca,Cardiida,Tellinidae,Moerella,Moerella donacina,Moerella donacina,,2,deposit feeder,,,,,benthos,,,,25,2.0 - 200 mm,deposit feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,Tetragonuridae,4,1,0,Chromista,Cryptophyta,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,,Rhodomonas,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,Halammohydridae,3,2,0,Animalia,Arthropoda,Calanoida,Eucalanidae,Eucalanus,,Eucalanus,水蚤,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,Leptochilichthyidae,3,1,0,Chromista,Ochrophyta,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia panduriformis,Nitzschia panduriformis,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,Scissurellidae,2,2,0,Animalia,Mollusca,Dentaliida,Dentaliidae,Antalis,Antalis entalis,Antalis entalis,,2,deposit feeder (based on Dentaliida),,,,,benthos,plankton > zooplankton,,,40,4,deposit feeder > selective,": endoparasitic,",,,,,,,,,,,,,,,,,,,,,,,,,,
1378,Architectonicidae,3,2,0,Animalia,Mollusca,Littorinimorpha,Littorinidae,Littorina,,Littorina,,2,grazer (based on Littorinidae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,Schizopathidae,3,4,0,Animalia,Chordata,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus vulgaris,Gaidropsarus vulgaris,主要捕食小鱼、甲壳动物,4,carnivore,,,Pisces,,,,,,50,60,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",25,,,,,,,,,,,,,,,,,,
1380,Nannorhynchididae,2,4,0,Animalia,Chordata,Testudines,Dermochelyidae,Dermochelys,Dermochelys coriacea,Dermochelys coriacea,龟鳖目,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,Pterosagittidae,3,2,0,Chromista,Foraminifera,Rotaliida,Cassidulinidae,Cassidulina,,Cassidulina,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,Clavatulidae,3,2,0,Animalia,Mollusca,Pectinida,Pectinidae,Pecten,Pecten maximus,Pecten maximus,,2,suspension feeder (based on Flabellipecten),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,Tornatinidae,2,2,0,Animalia,Annelida,Phyllodocida,Tomopteridae,Tomopteris,,Tomopteris,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,Miogypsinidae,2,1,0,Chromista,Ochrophyta,Lithodesmiales,Lithodesmiaceae,Helicotheca,Helicotheca tamesis,Helicotheca tamesis,,1,photoautotroph,,,Algae,,plankton > phytoplankton,plankton > phytoplankton,benthos,plankton > phytoplankton,5,12,,,,,,,,,,20,160,,,,,,,,,,,,,,,,,
1385,Scombrolabracidae,3,1,0,Plantae,,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia,Bonnemaisonia hamifera,Bonnemaisonia hamifera,,1,,,,Algae > Macroalgae,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,Pristidae,5,1,0,Chromista,Ochrophyta,Ectocarpales,Chordariaceae,Elachista,Elachista fucicola,Elachista fucicola,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Rachycentridae,4,3,0,Animalia,Arthropoda,Decapoda,Atelecyclidae,Atelecyclus,Atelecyclus rotundatus,Atelecyclus rotundatus,十足目,3,carnivore (based on Decapoda),,,,,benthos,plankton > zooplankton,benthos > macrobenthos,,28,39,": endoparasitic,",,,,,,,,,3.9,2.0 - 200 mm,,,,,,,,,,,,,,,,,
1388,Plectorecurvoididae,2,2,0,Animalia,Chordata,Cypriniformes,Cyprinidae,Vimba,Vimba vimba,Vimba vimba,,2,omnivore (based on Cypriniformes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,Terebridae,3,3,0,Animalia,Cnidaria,Zoantharia,Epizoanthidae,Epizoanthus,Epizoanthus couchii,Epizoanthus couchii,,3,microcarnivore (based on Anthozoa),,,,,benthos > macrobenthos,,,,12,4,,,,,,,,,,5,15,2.0 - 200 mm,,,,,,,,,,,,,,,,
1390,Alepisauridae,4,1,0,Chromista,Ochrophyta,Melosirales,Stephanopyxidaceae,Stephanopyxis,Stephanopyxis turris,Stephanopyxis turris,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Entophysalidaceae,1,2,0,Chromista,Foraminifera,Rotaliida,Globorotaliidae,Globorotalia,,Globorotalia,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,Aphanipathidae,3,1,0,Chromista,Ochrophyta,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus scriptus,Minutocellus scriptus,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,Vitrinellidae,2,1,0,Chromista,Ochrophyta,Lithodesmiales,Lithodesmiaceae,Lithodesmium,,Lithodesmium,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Gayraliaceae,1,2,0,Animalia,Bryozoa,Cyclostomatida,Crisiidae,Crisia,,Crisia,,2,suspension feeder (based on Stenolaemata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,Haplophragmiidae,2,2,0,Animalia,Bryozoa,Cheilostomatida,Hippothoidae,Hippothoa,Hippothoa divaricata,Hippothoa divaricata,,2,suspension feeder (based on Cheilostomata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,Lepidocyclinidae,2,1,0,Chromista,Ochrophyta,Corethrales,Corethraceae,Corethron,Corethron hystrix,Corethron hystrix,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,Placentulinidae,2,2,0,Chromista,Foraminifera,Nodosariida,Nodosariidae,Nodosaria,,Nodosaria,,2,deposit feeder (based on Lagenina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,Hamondiidae,2,2,0,Animalia,Bryozoa,Cheilostomatida,Cribrilinidae,Cribrilaria,Cribrilaria innominata,Cribrilaria innominata,,2,suspension feeder (based on Cheilostomata),,,,,benthos,plankton > zooplankton,benthos > macrobenthos,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,Truncatellidae,2,2,0,Chromista,Foraminifera,Rotaliida,Alabaminidae,Oridorsalis,Oridorsalis tener,Oridorsalis tener,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,Cymonomidae,3,2,0,Animalia,Annelida,,Maldanidae,Leiochone,Leiochone leiopygos,Leiochone leiopygos,,2,detritivore (based on Polychaeta),,,,,benthos,plankton > zooplankton,,,100,,: endoparasitic<\/small>,": ectoparasitic,",,,,,,,,,,,,,,,,,,,,,,,,,,
1401,Gigantactinidae,3,#N/A,#N/A,Animalia,Echinodermata,Ophiurida,,,,Ophiurida,,2,detritivore, suspension feeder (based on Ophiuroidea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,Boldiaceae,1,3,0,Animalia,Arthropoda,Decapoda,Munididae,Munida,Munida rugosa,Munida rugosa,十足目,3,carnivore (based on Decapoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,Planaxidae,2,1,0,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,,Synechococcus,,1,photoautotroph (based on Cyanobacteria),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,Lacosteinidae,2,1,0,Chromista,Ochrophyta,Cymatosirales,Cymatosiraceae,Lennoxia,Lennoxia faveolata,Lennoxia faveolata,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Tribonemataceae,1,#N/A,#N/A,Plantae,,Pseudoscourfieldiales,Pycnococcaceae,Pseudoscourfieldia,Pseudoscourfieldia marina,Pseudoscourfieldia marina,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Schmiziellaceae,1,2,0,Chromista,Ciliophora,Choreotrichida,Tintinnidae,,,Tintinnidae,色藻界,2,,,,,,plankton > zooplankton,plankton > microplankton,,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,Protohydridae,3,2,0,Animalia,Echinodermata,Spatangoida,Loveniidae,Echinocardium,Echinocardium flavescens,Echinocardium flavescens,,2,deposit feeder, detritivore (based on Spatangoida),,,,benthos > endobenthos,,,,35,33,deposit feeder,": ectoparasitic,",,,,,,,,32,80,70,0.2 - 2.0 mm,2.0 - 200 mm,,,,,,,,,,,,,,
1408,Seguenziidae,2,3,0,Animalia,Echinodermata,Forcipulatida,Asteriidae,Marthasterias,Marthasterias glacialis,Marthasterias glacialis,海星,3,carnivore (based on Forcipulatida),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,Deltocyathidae,2,2,0,Animalia,Annelida,Eunicida,Dorvilleidae,Schistomeringos,Schistomeringos neglecta,Schistomeringos neglecta,多毛纲蠕虫,2,carnivore (based on Eunicemorpha),,,,,benthos,plankton > zooplankton,,,30,21,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
1410,Batillipedidae,2,3,0,Animalia,Cnidaria,Leptothecata,Sertularellidae,Sertularella,,Sertularella,水母,3,carnivore, suspension feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,Discoidae,2,2,0,Animalia,Cnidaria,Actiniaria,Sagartiidae,Cylista,Cylista elegans,Cylista elegans,,2,omnivore (based on Foraminifera),,,,,benthos > macrobenthos,,,,30,40,,,,,,,,,,60,2.0 - 200 mm,,,,,,,,,,,,,,,,,
1412,Granulinidae,3,2,0,Animalia,Annelida,Spionida,Spionidae,Prionospio,,Prionospio,,2,detritivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,Pseudodiaptomidae,2,2,0,Animalia,Mollusca,Pectinida,Pectinidae,,,Pectinidae,,2,suspension feeder,,,,,benthos,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,Heleninidae,2,2,0,Chromista,Foraminifera,Rotaliida,Globigerinidae,Orbulina,Orbulina suturalis,Orbulina suturalis,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,Giganturidae,5,4,0,Animalia,Chordata,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus norvegicus,Zeugopterus norvegicus,鲽形目，捕食小鱼虾,4,carnivore,,,Pisces,,,,,,12,,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,,
1416,Lysiosquillidae,2,1,0,Chromista,Myzozoa,Peridiniales,Peridiniida incertae sedis,Archaeperidinium,,Archaeperidinium,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,Coskinolinidae,2,1,0,Plantae,,Ceramiales,Rhodomelaceae,Vertebrata,Vertebrata byssoides,Vertebrata byssoides,,1,,,,Algae > Macroalgae,,,,,,70,300,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
1418,Diplogastridae,2,2,0,Chromista,Foraminifera,Rotaliida,Elphidiidae,Elphidium,Elphidium excavatum,Elphidium excavatum,,2,omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,Stipitococcaceae,1,2,0,Animalia,Mollusca,,Thraciidae,Thracia,Thracia villosiuscula,Thracia villosiuscula,,2,suspension feeder (based on Thraciidae),,,,,benthos,,,,3,5,,,,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
1420,Gomontiaceae,1,2,0,Animalia,Arthropoda,Euphausiacea,Euphausiidae,,,Euphausiidae,,2,omnivore (based on Malacostraca),,,,,plankton > zooplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,Petrospongiaceae,1,2,0,Animalia,Mollusca,Chitonida,Lepidochitonidae,Lepidochitona,Lepidochitona cinerea,Lepidochitona cinerea,,2,grazer (based on Polyplacophora),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,Capsosiphonaceae,1,3,0,Animalia,Arthropoda,Decapoda,Upogebiidae,Upogebia,,Upogebia,十足目,3,carnivore (based on Decapoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,Emplectonematidae,2,#N/A,#N/A,Chromista,Ochrophyta,Ochromonadales,,,,Ochromonadales,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,Turbanellidae,2,2,0,Animalia,Arthropoda,Cyclopoida,Oncaeidae,Oncaea,Oncaea media,Oncaea media,水蚤,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,Vanikoridae,2,1,0,Chromista,Ochrophyta,Tilopteridales,Phyllariaceae,Saccorhiza,Saccorhiza polyschides,Saccorhiza polyschides,,1,,,,Algae > Macroalgae,Algae > Macroalgae,,,,,3,1,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,
1426,Psammocytheridae,2,#N/A,#N/A,Chromista,Myzozoa,Peridiniales,Lessardiaceae,Lessardia,Lessardia elongata,Lessardia elongata,,1,,,,Algae,,plankton > phytoplankton,plankton > phytoplankton,,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
